#multi:
,mass A,,mass B,,
t,x,y,x,y,
7,300000E−1,7,303609E−1,1,699676E1,2,709013E1,−5,892666E0
7,400000E−1,8,348064E−1,1,718751E1,2,754837E1,−6,053387E0
7,500000E−1,9,472205E−1,1,738082E1,2,799852E1,−6,210159E0
7,600000E−1,1,053026E0,1,757528E1,2,845027E1,−6,374440E0
7,700000E−1,1,163451E0,1,777477E1,2,889243E1,−6,531302E0
7,800000E−1,1,257657E0,1,796103E1,2,934392E1,−6,684783E0
7,900000E−1,1,355313E0,1,814739E1,2,979798E1,−6,848406E0
8,000000E−1,1,452084E0,1,833084E1,3,024621E1,−7,013063E0
8,100000E−1,1,558610E0,1,852444E1,3,070757E1,−7,172458E0
8,200000E−1,1,666468E0,1,871508E1,3,113566E1,−7,341252E0
8,300000E−1,1,771904E0,1,890301E1,3,159569E1,−7,494550E0
8,400000E−1,1,876839E0,1,909338E1,3,204404E1,−7,657869E0
8,500000E−1,1,973088E0,1,928557E1,3,248138E1,−7,804752E0
